ScenarioNumber,h,Hs,Tp
1,0.5,0.4,4
2,0.5,0.4,8
3,0.5,0.4,12
4,0.5,0.4,16
5,0.5,0.4,20
6,1,0.4,4
7,1,0.4,8
8,1,0.4,12
9,1,0.4,16
10,1,0.4,20
11,1,0.8,4
12,1,0.8,8
13,1,0.8,12
14,1,0.8,16
15,1,0.8,20
16,2,0.4,4
17,2,0.4,8
18,2,0.4,12
19,2,0.4,16
20,2,0.4,20
21,2,0.8,4
22,2,0.8,8
23,2,0.8,12
24,2,0.8,16
25,2,0.8,20
26,2,1.2,4
27,2,1.2,8
28,2,1.2,12
29,2,1.2,16
30,2,1.2,20
31,2,1.6,4
32,2,1.6,8
33,2,1.6,12
34,2,1.6,16
35,2,1.6,20
36,3,0.4,4
37,3,0.4,8
38,3,0.4,12
39,3,0.4,16
40,3,0.4,20
41,3,0.8,4
42,3,0.8,8
43,3,0.8,12
44,3,0.8,16
45,3,0.8,20
46,3,1.2,4
47,3,1.2,8
48,3,1.2,12
49,3,1.2,16
50,3,1.2,20
51,3,1.6,4
52,3,1.6,8
53,3,1.6,12
54,3,1.6,16
55,3,1.6,20
56,3,2,4
57,3,2,8
58,3,2,12
59,3,2,16
60,3,2,20
61,4,0.4,4
62,4,0.4,8
63,4,0.4,12
64,4,0.4,16
65,4,0.4,20
66,4,0.8,4
67,4,0.8,8
68,4,0.8,12
69,4,0.8,16
70,4,0.8,20
71,4,1.2,4
72,4,1.2,8
73,4,1.2,12
74,4,1.2,16
75,4,1.2,20
76,4,1.6,4
77,4,1.6,8
78,4,1.6,12
79,4,1.6,16
80,4,1.6,20
81,4,2,4
82,4,2,8
83,4,2,12
84,4,2,16
85,4,2,20
